2020-12-29 22:12:924 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (e1edf713a2904a772299188c4c9d5dc4)] -> xpath: //select[@id='models']]
2020-12-29 22:12:184 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (e1edf713a2904a772299188c4c9d5dc4)] -> xpath: //select[@id='locations']]
2020-12-29 22:12:421 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (e1edf713a2904a772299188c4c9d5dc4)] -> xpath: //select[@id='priceTo']]
2020-12-29 22:12:664 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (e1edf713a2904a772299188c4c9d5dc4)] -> xpath: //input[@id='search-submit']]
2020-12-29 22:12:597 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (e1edf713a2904a772299188c4c9d5dc4)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 22:12:657 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 22:12:958 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 22:12:200 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (325fce288193d4436452e2eb4017e141)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 22:12:678 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (325fce288193d4436452e2eb4017e141)] -> xpath: //select[@id='makes']]
2020-12-29 22:12:962 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (325fce288193d4436452e2eb4017e141)] -> xpath: //select[@id='models']]
2020-12-29 22:12:224 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (325fce288193d4436452e2eb4017e141)] -> xpath: //select[@id='locations']]
2020-12-29 22:12:454 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (325fce288193d4436452e2eb4017e141)] -> xpath: //select[@id='priceTo']]
2020-12-29 22:12:709 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (325fce288193d4436452e2eb4017e141)] -> xpath: //input[@id='search-submit']]
2020-12-29 22:12:587 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (325fce288193d4436452e2eb4017e141)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 22:12:678 INFO  SearchCarsResultPage :28 - Get title of page : 
